District,Subdivision,Murder,Murder for Gain,Dacoity,Robbery,Grave Burglary,Grave Theft,Total Crimes
ARIYALUR,Ariyalur,5,1,0,4,4,1,15
ARIYALUR,Jayankondam,11,2,0,6,1,0,20
AVADI,Ambattur,9,1,0,8,4,3,25
AVADI,Avadi,5,0,0,5,3,1,14
AVADI,Ennore,7,0,1,6,0,1,15
AVADI,Manali,7,0,0,3,1,5,16
AVADI,Pattabiram,2,0,0,0,0,0,2
AVADI,Poonamallee,7,1,0,13,6,1,28
AVADI,Redhills,16,0,3,8,5,3,35
AVADI,SRMC,7,1,0,3,3,3,17
CHENGALPET,Chengalpet,14,1,1,18,3,0,37
CHENGALPET,Mamalapuram,7,0,2,16,1,2,28
CHENGALPET,Mathuranthagam,9,1,2,10,2,3,27
CHENNAI,Adyar,1,0,0,6,0,0,7
CHENNAI,Anna Nagar,3,0,1,6,1,1,12
CHENNAI,Arumbakkam,2,0,1,6,1,0,10
CHENNAI,Ashok Nagar,2,0,0,5,2,0,9
CHENNAI,Ayanavaram,3,0,0,15,1,1,20
CHENNAI,Egmore,4,0,1,10,6,1,22
CHENNAI,Flower Bazzar,3,0,0,9,1,2,15
CHENNAI,Guindy,5,0,0,7,3,1,16
CHENNAI,Harbour,2,0,1,2,1,1,7
CHENNAI,High Court,2,0,0,3,2,0,7
CHENNAI,Kilpauk,0,0,0,4,0,3,7
CHENNAI,Kolathur,1,0,0,15,2,0,18
CHENNAI,Kotturpuram,3,0,0,1,0,1,5
CHENNAI,Koyambedu,4,0,0,21,1,0,26
CHENNAI,Madipakkam,5,0,0,14,0,0,19
CHENNAI,Meenambakkam,0,0,0,0,0,1,1
CHENNAI,MKB Nagar,4,0,0,18,5,1,28
CHENNAI,Mylapore,3,1,1,9,1,0,15
CHENNAI,Neelangkarai,2,0,0,7,0,1,10
CHENNAI,Nungambakkam,1,0,0,10,0,1,12
CHENNAI,Pulianthope,5,0,1,18,0,0,24
CHENNAI,Puzhal,5,0,1,23,4,1,34
CHENNAI,Royapet,2,0,0,9,0,2,13
CHENNAI,Royapuram,4,1,0,20,0,0,25
