District,Subdivision,Murder,Murder for Gain,Dacoity,Robbery,Grave Burglary,Grave Theft,Other,Total Crimes,Latitude,Longitude
ARIYALUR,Ariyalur,5,1,0,4,4,1,0,15,11.1383,79.0756
ARIYALUR,Jayankondam,11,2,0,6,1,0,0,20,11.209,79.3665
AVADI,Ambattur,9,1,0,8,4,3,0,25,13.1143,80.148
AVADI,Avadi,5,0,0,5,3,1,0,14,13.1143,80.1098
AVADI,Ennore,7,0,1,6,0,1,0,15,13.2164,80.3218
AVADI,Manali,7,0,0,3,1,5,0,16,13.1654,80.2571
AVADI,Pattabiram,2,0,0,0,0,0,0,2,13.1186,80.0683
AVADI,Poonamallee,7,1,0,13,6,1,0,28,13.0486,80.1084
AVADI,Redhills,16,0,3,8,5,3,0,35,13.2066,80.1849
AVADI,SRMC,7,1,0,3,3,3,0,17,13.0332,80.1497
CHENGALPET,Chengalpet,14,1,1,18,3,0,0,37,12.692,79.9734
CHENGALPET,Mamalapuram,7,0,2,16,1,2,0,28,12.6229,80.1958
CHENGALPET,Mathuranthagam,9,1,2,10,2,3,0,27,12.663,79.7807
CHENNAI,Adyar,1,0,0,6,0,0,0,7,13.0067,80.257
CHENNAI,Anna Nagar,3,0,1,6,1,1,0,12,13.0878,80.213
CHENNAI,Arumbakkam,2,0,1,6,1,0,0,10,13.0725,80.2177
CHENNAI,Ashok Nagar,2,0,0,5,2,0,0,9,13.0356,80.2122
CHENNAI,Ayanavaram,3,0,0,15,1,1,0,20,13.0982,80.2419
CHENNAI,Egmore,4,0,1,10,6,1,0,22,13.0724,80.254
CHENNAI,Flower Bazzar,3,0,0,9,1,2,0,15,13.0922,80.2836
CHENNAI,Guindy,5,0,0,7,3,1,0,16,13.0084,80.2201
CHENNAI,Harbour,2,0,1,2,1,1,0,7,13.0965,80.2885
CHENNAI,High Court,2,0,0,3,2,0,0,7,13.0914,80.2875
CHENNAI,Kilpauk,0,0,0,4,0,3,0,7,13.0804,80.2424
CHENNAI,Kolathur,1,0,0,15,2,0,0,18,13.1244,80.2175
CHENNAI,Kotturpuram,3,0,0,1,0,1,0,5,13.0092,80.2417
CHENNAI,Koyambedu,4,0,0,21,1,0,0,26,13.0734,80.1953
CHENNAI,Madipakkam,5,0,0,14,0,0,0,19,12.9627,80.1984
CHENNAI,Meenambakkam,0,0,0,0,0,1,0,1,12.9941,80.1847
CHENNAI,MKB Nagar,4,0,0,18,5,1,0,28,13.1229,80.2653
CHENNAI,Mylapore,3,1,1,9,1,0,0,15,13.0336,80.2687
CHENNAI,Neelangkarai,2,0,0,7,0,1,0,10,12.9592,80.2567
CHENNAI,Nungambakkam,1,0,0,10,0,1,0,12,13.0587,80.2407
CHENNAI,Pulianthope,5,0,1,18,0,0,0,24,13.102,80.2493
CHENNAI,Puzhal,5,0,1,23,4,1,0,34,13.153,80.2015
CHENNAI,Royapet,2,0,0,9,0,2,0,13,13.0519,80.2662
